Year,Award,Winner,Name,Film
1965,Actor in a Supporting Role,0,Michael Dunn,Ship of Fools
1987,Actor in a Leading Role,1,Michael Douglas,Wall Street
1999,Actor in a Supporting Role,0,Michael Clarke Duncan,The Green Mile
1967,Actor in a Supporting Role,0,Michael J. Pollard,Bonnie and Clyde
2013,Actor in a Supporting Role,0,Michael Fassbender,12 Years a Slave
2015,Actor in a Leading Role,0,Michael Fassbender,Steve Jobs
1980,Actor in a Supporting Role,0,Michael O'Keefe,The Great Santini
1991,Actor in a Supporting Role,0,Michael Lerner,Barton Fink
2014,Actor in a Leading Role,0,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance)
1956,Actor in a Supporting Role,0,Mickey Rooney,The Bold and the Brave
1974,Actor in a Supporting Role,0,Michael V. Gazzo,The Godfather Part II
2008,Actor in a Supporting Role,0,Michael Shannon,Revolutionary Road
2016,Actor in a Supporting Role,0,Michael Shannon,Nocturnal Animals
1979,Actor in a Supporting Role,0,Mickey Rooney,The Black Stallion
1988,Actress in a Supporting Role,0,Michelle Pfeiffer,Dangerous Liaisons
1992,Actress in a Leading Role,0,Michelle Pfeiffer,Love Field
2005,Actress in a Supporting Role,0,Michelle Williams,Brokeback Mountain
2016,Actress in a Supporting Role,0,Michelle Williams,Manchester by the Sea
1943,Actor in a Leading Role,0,Mickey Rooney,The Human Comedy
1951,Actress in a Supporting Role,0,Mildred Dunnock,Death of a Salesman
1977,Actor in a Supporting Role,0,Mikhail Baryshnikov,The Turning Point
2008,Actor in a Leading Role,0,Mickey Rourke,The Wrestler
1956,Actress in a Supporting Role,0,Mildred Dunnock,Baby Doll
1967,Actress in a Supporting Role,0,Mildred Natwick,Barefoot in the Park
1992,Actress in a Supporting Role,0,Miranda Richardson,Damage
1995,Actress in a Supporting Role,1,Mira Sorvino,Mighty Aphrodite
1997,Actress in a Supporting Role,0,Minnie Driver,Good Will Hunting
1994,Actress in a Leading Role,0,Miranda Richardson,Tom & Viv
1936,Actor in a Supporting Role,0,Mischa Auer,My Man Godfrey
1942,Actor in a Leading Role,0,Monty Woolley,The Pied Piper
1948,Actor in a Leading Role,0,Montgomery Clift,The Search
1957,Actress in a Supporting Role,1,Miyoshi Umeki,Sayonara
1961,Actor in a Supporting Role,0,Montgomery Clift,Judgment at Nuremberg
2009,Actress in a Supporting Role,1,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire
1953,Actor in a Leading Role,0,Montgomery Clift,From Here to Eternity
1944,Actor in a Supporting Role,0,Monty Woolley,Since You Went Away
1987,Actor in a Supporting Role,0,Morgan Freeman,Street Smart
2009,Actor in a Leading Role,0,Morgan Freeman,Invictus
1930,Actress in a Leading Role,0,Norma Shearer,Their Own Desire
1950,Actress in a Supporting Role,0,Nancy Olson,Sunset Blvd.
1956,Actress in a Leading Role,0,Nancy Kelly,The Bad Seed
1954,Actress in a Supporting Role,0,Nina Foch,Executive Suite
1955,Actress in a Supporting Role,0,Natalie Wood,Rebel without a Cause
2003,Actress in a Leading Role,0,Naomi Watts,21 Grams
2012,Actress in a Leading Role,0,Naomi Watts,The Impossible
2016,Actress in a Leading Role,0,Natalie Portman,Jackie
2016,Actress in a Supporting Role,0,Naomie Harris,Moonlight
1963,Actress in a Leading Role,0,Natalie Wood,Love with the Proper Stranger
1976,Actor in a Supporting Role,0,Ned Beatty,Network
1991,Actor in a Leading Role,0,Nick Nolte,The Prince of Tides
2011,Actor in a Supporting Role,0,Nick Nolte,Warrior
2016,Actress in a Supporting Role,0,Nicole Kidman,Lion
1984,Actor in a Supporting Role,0,Noriyuki 'Pat' Morita,The Karate Kid
1987,Actress in a Supporting Role,0,Norma Aleandro,Gaby - A True Story
1938,Actress in a Leading Role,0,Norma Shearer,Marie Antoinette
1933,Actor in a Leading Role,0,Paul Muni,I Am a Fugitive from a Chain Gang
1939,Actress in a Supporting Role,0,Olivia de Havilland,Gone with the Wind
2011,Actress in a Supporting Role,1,Octavia Spencer,The Help
2016,Actress in a Supporting Role,0,Octavia Spencer,Hidden Figures
1949,Actress in a Leading Role,1,Olivia de Havilland,The Heiress
1956,Actress in a Supporting Role,0,Patty McCormack,The Bad Seed
1962,Actress in a Supporting Role,1,Patty Duke,The Miracle Worker
1962,Actor in a Supporting Role,0,Omar Sharif,Lawrence of Arabia
1987,Actress in a Supporting Role,1,Olympia Dukakis,Moonstruck
1963,Actress in a Leading Role,1,Patricia Neal,Hud
1965,Actor in a Leading Role,0,Oskar Werner,Ship of Fools
1985,Actress in a Supporting Role,0,Oprah Winfrey,The Color Purple
1968,Actress in a Leading Role,0,Patricia Neal,The Subject Was Roses
2003,Actress in a Supporting Role,0,Patricia Clarkson,Pieces of April
2014,Actress in a Supporting Role,1,Patricia Arquette,Boyhood
1959,Actor in a Leading Role,0,Paul Muni,The Last Angry Man
2005,Actor in a Supporting Role,0,Paul Giamatti,Cinderella Man
1937,Actor in a Leading Role,0,Paul Muni,The Life of Emile Zola
1937,Actor in a Supporting Role,0,Ralph Bellamy,The Awful Truth
1943,Actress in a Supporting Role,0,Paulette Goddard,So Proudly We Hail!
1958,Actor in a Leading Role,0,Paul Newman,Cat on a Hot Tin Roof
2002,Actor in a Supporting Role,0,Paul Newman,Road to Perdition
1951,Actor in a Supporting Role,0,Peter Ustinov,Quo Vadis
1955,Actress in a Supporting Role,0,Peggy Lee,Pete Kelly's Blues
1958,Actress in a Supporting Role,0,Peggy Cass,Auntie Mame
1984,Actress in a Supporting Role,1,Peggy Ashcroft,A Passage to India
1989,Actress in a Leading Role,0,Pauline Collins,Shirley Valentine
1960,Actor in a Supporting Role,1,Peter Ustinov,Spartacus
1960,Actor in a Supporting Role,0,Peter Falk,"Murder, Inc."
1965,Actress in a Supporting Role,0,Peggy Wood,The Sound of Music
1978,Actress in a Supporting Role,0,Penelope Milford,Coming Home
1993,Actor in a Supporting Role,0,Pete Postlethwaite,In the Name of the Father
2006,Actress in a Leading Role,0,Pení©lope Cruz,Volver
2009,Actress in a Supporting Role,0,Pení©lope Cruz,Nine
1961,Actor in a Supporting Role,0,Peter Falk,Pocketful of Miracles
1962,Actor in a Leading Role,0,Peter O'Toole,Lawrence of Arabia
1971,Actor in a Leading Role,0,Peter Finch,Sunday Bloody Sunday
1976,Actor in a Leading Role,1,Peter Finch,Network
1977,Actor in a Supporting Role,0,Peter Firth,Equus
1980,Actor in a Leading Role,0,Peter O'Toole,The Stunt Man
1997,Actor in a Leading Role,0,Peter Fonda,Ulee's Gold
2006,Actor in a Leading Role,0,Peter O'Toole,Venus
1982,Actor in a Leading Role,0,Peter O'Toole,My Favorite Year
1969,Actor in a Leading Role,0,Peter O'Toole,"Goodbye, Mr. Chips"
1979,Actor in a Leading Role,0,Peter Sellers,Being There
1961,Actress in a Leading Role,0,Piper Laurie,The Hustler
2005,Actor in a Leading Role,1,Philip Seymour Hoffman,Capote
2012,Actor in a Supporting Role,0,Philip Seymour Hoffman,The Master
2019,oscar,1,Pikachu ,Detective Pikachu 
1986,Actress in a Supporting Role,0,Piper Laurie,Children of a Lesser God
1998,Actress in a Supporting Role,0,Rachel Griffiths,Hilary and Jackie
2002,Actress in a Supporting Role,0,Queen Latifah,Chicago
2012,Actress in a Leading Role,0,Quvenzhaní© Wallis,Beasts of the Southern Wild
2005,Actress in a Supporting Role,1,Rachel Weisz,The Constant Gardener
2015,Actress in a Supporting Role,0,Rachel McAdams,Spotlight
1940,Actor in a Leading Role,0,Raymond Massey,Abe Lincoln in Illinois
1945,Actor in a Leading Role,1,Ray Milland,The Lost Weekend
1949,Actor in a Supporting Role,0,Ralph Richardson,The Heiress
1993,Actor in a Supporting Role,0,Ralph Fiennes,Schindler's List
1996,Actor in a Leading Role,0,Ralph Fiennes,The English Patient
1984,Actor in a Supporting Role,0,Ralph Richardson,"Greystoke: The Legend of Tarzan, Lord of the Apes"
1957,Actor in a Supporting Role,1,Red Buttons,Sayonara
1963,Actor in a Leading Role,0,Rex Harrison,Cleopatra
2001,Actress in a Leading Role,0,Rení©e Zellweger,Bridget Jones's Diary
2005,Actress in a Leading Role,1,Reese Witherspoon,Walk the Line
2014,Actress in a Leading Role,0,Reese Witherspoon,Wild
2003,Actress in a Supporting Role,1,Rení©e Zellweger,Cold Mountain
1964,Actor in a Leading Role,1,Rex Harrison,My Fair Lady
1929,Actor in a Leading Role,1,Warner Baxter,In Old Arizona
1929,Actress in a Leading Role,0,Ruth Chatterton,Madame X
1930,Actor in a Leading Role,0,Ronald Colman,Bulldog Drummond
1931,Actor in a Leading Role,0,Richard Dix,Cimarron
1952,Actor in a Supporting Role,0,Richard Burton,My Cousin Rachel
1977,Actor in a Leading Role,0,Richard Burton,Equus
1937,Actor in a Leading Role,0,Robert Montgomery,Night Must Fall
1938,Actor in a Leading Role,0,Robert Donat,The Citadel
1947,Actor in a Supporting Role,0,Richard Widmark,Kiss of Death
1949,Actor in a Leading Role,0,Richard Todd,The Hasty Heart
1963,Actor in a Leading Role,0,Richard Harris,This Sporting Life
1977,Actor in a Leading Role,1,Richard Dreyfuss,The Goodbye Girl
1995,Actor in a Leading Role,0,Richard Dreyfuss,Mr. Holland's Opus
1999,Actor in a Leading Role,0,Richard Farnsworth,The Straight Story
1971,Actor in a Supporting Role,0,Richard Jaeckel,Sometimes a Great Notion
2008,Actor in a Leading Role,0,Richard Jenkins,The Visitor
1961,Actress in a Supporting Role,1,Rita Moreno,West Side Story
1983,Actor in a Supporting Role,0,Rip Torn,Cross Creek
2006,Actress in a Supporting Role,0,Rinko Kikuchi,Babel
1974,Actor in a Supporting Role,1,Robert De Niro,The Godfather Part II
1988,Actor in a Supporting Role,0,River Phoenix,Running on Empty
1990,Actor in a Leading Role,0,Robert De Niro,Awakenings
2012,Actor in a Supporting Role,0,Robert De Niro,Silver Linings Playbook
1980,Actor in a Leading Role,1,Robert De Niro,Raging Bull
1939,Actor in a Leading Role,1,Robert Donat,"Goodbye, Mr. Chips"
1941,Actor in a Leading Role,0,Robert Montgomery,Here Comes Mr. Jordan
1945,Actor in a Supporting Role,0,Robert Mitchum,G. I. Joe
1972,Actor in a Supporting Role,0,Robert Duvall,The Godfather
1992,Actor in a Leading Role,0,Robert Downey Jr.,Chaplin
2008,Actor in a Supporting Role,0,Robert Downey Jr.,Tropic Thunder
2014,Actor in a Supporting Role,0,Robert Duvall,The Judge
1983,Actor in a Leading Role,1,Robert Duvall,Tender Mercies
1985,Actor in a Supporting Role,0,Robert Loggia,Jagged Edge
1997,Actor in a Supporting Role,0,Robert Forster,Jackie Brown
1937,Actor in a Supporting Role,0,Roland Young,Topper
1938,Actor in a Supporting Role,0,Robert Morley,Marie Antoinette
1947,Actor in a Supporting Role,0,Robert Ryan,Crossfire
1973,Actor in a Leading Role,0,Robert Redford,The Sting
1982,Actor in a Supporting Role,0,Robert Preston,Victor/Victoria
1953,Actor in a Supporting Role,0,Robert Strauss,Stalag 17
1956,Actor in a Supporting Role,0,Robert Stack,Written on the Wind
1966,Actor in a Supporting Role,0,Robert Shaw,A Man for All Seasons
1954,Actor in a Supporting Role,0,Rod Steiger,On the Waterfront
1956,Actor in a Leading Role,0,Rock Hudson,Giant
1959,Actor in a Supporting Role,0,Robert Vaughn,The Young Philadelphians
1987,Actor in a Leading Role,0,Robin Williams,"Good Morning, Vietnam"
1998,Actor in a Leading Role,1,Roberto Benigni,Life Is Beautiful
1997,Actor in a Supporting Role,1,Robin Williams,Good Will Hunting
1965,Actor in a Leading Role,0,Rod Steiger,The Pawnbroker
1967,Actor in a Leading Role,1,Rod Steiger,In the Heat of the Night
1942,Actor in a Leading Role,0,Ronald Colman,Random Harvest
1968,Actor in a Leading Role,0,Ron Moody,Oliver!
1947,Actor in a Leading Role,1,Ronald Colman,A Double Life
1930,Actress in a Leading Role,0,Ruth Chatterton,Sarah and Son
1942,Actress in a Leading Role,0,Rosalind Russell,My Sister Eileen
1975,Actress in a Supporting Role,0,Ronee Blakley,Nashville
2011,Actress in a Leading Role,0,Rooney Mara,The Girl with the Dragon Tattoo
2015,Actress in a Supporting Role,0,Rooney Mara,Carol
1958,Actress in a Leading Role,0,Rosalind Russell,Auntie Mame
1969,Actor in a Supporting Role,0,Rupert Crosse,The Reivers
1971,Actor in a Supporting Role,0,Roy Scheider,The French Connection
1993,Actress in a Supporting Role,0,Rosie Perez,Fearless
1994,Actress in a Supporting Role,0,Rosemary Harris,Tom & Viv
2014,Actress in a Leading Role,0,Rosamund Pike,Gone Girl
1979,Actor in a Leading Role,0,Roy Scheider,All That Jazz
2007,Actress in a Supporting Role,0,Ruby Dee,American Gangster
1999,Actor in a Leading Role,0,Russell Crowe,The Insider
2001,Actor in a Leading Role,0,Russell Crowe,A Beautiful Mind
1930,Actor in a Leading Role,0,Wallace Beery,The Big House
1935,Actor in a Leading Role,1,Victor McLaglen,The Informer
1936,Actor in a Leading Role,0,Spencer Tracy,San Francisco
1940,Actress in a Supporting Role,0,Ruth Hussey,The Philadelphia Story
1965,Actress in a Supporting Role,0,Ruth Gordon,Inside Daisy Clover
1968,Actress in a Supporting Role,1,Ruth Gordon,Rosemary's Baby
1941,Actress in a Supporting Role,0,Sara Allgood,How Green Was My Valley
1950,Actor in a Supporting Role,0,Sam Jaffe,The Asphalt Jungle
1955,Actor in a Supporting Role,0,Sal Mineo,Rebel without a Cause
1970,Actor in a Leading Role,0,Ryan O'Neal,Love Story
2006,Actor in a Leading Role,0,Ryan Gosling,Half Nelson
2016,Actress in a Leading Role,0,Ruth Negga,Loving
2016,Actor in a Leading Role,0,Ryan Gosling,La La Land
1960,Actor in a Supporting Role,0,Sal Mineo,Exodus
1970,Actress in a Supporting Role,1,Sally Kellerman,MA*S*H
1979,Actress in a Leading Role,1,Sally Field,Norma Rae
2012,Actress in a Supporting Role,0,Sally Field,Lincoln
2013,Actress in a Supporting Role,0,Sally Hawkins,Blue Jasmine
1987,Actress in a Leading Role,0,Sally Kirkland,Anna
2002,Actress in a Leading Role,0,Salma Hayek,Frida
1965,Actress in a Leading Role,0,Samantha Eggar,The Collector
1983,Actor in a Supporting Role,0,Sam Shepard,The Right Stuff
1984,Actor in a Leading Role,0,Sam Waterston,The Killing Fields
1966,Actress in a Supporting Role,1,Sandy Dennis,Who's Afraid of Virginia Woolf?
1994,Actor in a Supporting Role,0,Samuel L. Jackson,Pulp Fiction
1999,Actress in a Supporting Role,0,Samantha Morton,Sweet and Lowdown
2003,Actress in a Leading Role,0,Samantha Morton,In America
2009,Actress in a Leading Role,1,Sandra Bullock,The Blind Side
2013,Actress in a Leading Role,0,Sandra Bullock,Gravity
2007,Actress in a Supporting Role,0,Saoirse Ronan,Atonement
2015,Actress in a Leading Role,0,Saoirse Ronan,Brooklyn
1950,Actor in a Leading Role,0,Spencer Tracy,Father of the Bride
1951,Actress in a Leading Role,0,Shelley Winters,A Place in the Sun
1957,Actor in a Supporting Role,0,Sessue Hayakawa,The Bridge on the River Kwai
1970,Actress in a Leading Role,0,Sarah Miles,Ryan's Daughter
1987,Actor in a Supporting Role,1,Sean Connery,The Untouchables
1995,Actor in a Leading Role,0,Sean Penn,Dead Man Walking
2008,Actor in a Leading Role,1,Sean Penn,Milk
1959,Actress in a Supporting Role,1,Shelley Winters,The Diary of Anne Frank
1968,Actor in a Supporting Role,0,Seymour Cassel,Faces
1972,Actress in a Supporting Role,0,Shelley Winters,The Poseidon Adventure
1995,Actress in a Leading Role,0,Sharon Stone,Casino
1965,Actress in a Supporting Role,1,Shelley Winters,A Patch of Blue
1952,Actress in a Leading Role,1,Shirley Booth,"Come Back, Little Sheba"
1955,Actor in a Leading Role,0,Spencer Tracy,Bad Day at Black Rock
1956,Actor in a Leading Role,0,Sir Laurence Olivier,Richard III
1958,Actor in a Leading Role,0,Sidney Poitier,The Defiant Ones
1958,Actress in a Leading Role,0,Shirley MacLaine,Some Came Running
1960,Actress in a Supporting Role,1,Shirley Jones,Elmer Gantry
1960,Actress in a Leading Role,0,Shirley MacLaine,The Apartment
1960,Actress in a Supporting Role,0,Shirley Knight,The Dark at the Top of the Stairs
1962,Actress in a Supporting Role,0,Shirley Knight,Sweet Bird of Youth
1963,Actress in a Leading Role,0,Shirley MacLaine,Irma La Douce
1983,Actress in a Leading Role,1,Shirley MacLaine,Terms of Endearment
1963,Actor in a Leading Role,1,Sidney Poitier,Lilies of the Field
2003,Actress in a Supporting Role,0,Shohreh Aghdashloo,House of Sand and Fog
1959,Actress in a Leading Role,1,Simone Signoret,Room at the Top
1986,Actress in a Leading Role,0,Sigourney Weaver,Aliens
1988,Actress in a Supporting Role,0,Sigourney Weaver,Working Girl
1965,Actress in a Leading Role,0,Simone Signoret,Ship of Fools
1958,Actor in a Leading Role,0,Spencer Tracy,The Old Man and the Sea
1961,Actress in a Leading Role,1,Sophia Loren,Two Women
1968,Actress in a Supporting Role,0,Sondra Locke,The Heart Is a Lonely Hunter
1976,Actress in a Leading Role,0,Sissy Spacek,Carrie
2001,Actress in a Leading Role,0,Sissy Spacek,In the Bedroom
1964,Actress in a Leading Role,0,Sophia Loren,Marriage Italian Style
1967,Actor in a Leading Role,0,Spencer Tracy,Guess Who's Coming to Dinner
2004,Actress in a Supporting Role,0,Sophie Okonedo,Hotel Rwanda
1960,Actor in a Leading Role,0,Spencer Tracy,Inherit the Wind
1938,Actor in a Leading Role,1,Spencer Tracy,Boys Town
1938,Actress in a Supporting Role,0,Spring Byington,You Can't Take It with You
1939,Actor in a Supporting Role,1,Thomas Mitchell,Stagecoach
1941,Actor in a Supporting Role,0,Sydney Greenstreet,The Maltese Falcon
1942,Actress in a Supporting Role,0,Susan Peters,Random Harvest
1947,Actress in a Leading Role,0,Susan Hayward,Smash-Up--The Story of a Woman
1961,Actor in a Leading Role,0,Stuart Whitman,The Mark
1964,Actor in a Supporting Role,0,Stanley Holloway,My Fair Lady
1966,Actor in a Leading Role,0,Steve McQueen,The Sand Pebbles
1992,Actor in a Leading Role,0,Stephen Rea,The Crying Game
2009,Actor in a Supporting Role,0,Stanley Tucci,The Lovely Bones
2014,Actor in a Leading Role,0,Steve Carell,Foxcatcher
1993,Actress in a Leading Role,0,Stockard Channing,Six Degrees of Separation
1958,Actress in a Leading Role,1,Susan Hayward,I Want to Live!
1959,Actress in a Supporting Role,0,Susan Kohner,Imitation of Life
1969,Actress in a Supporting Role,0,Susannah York,"They Shoot Horses, Don't They?"
1972,Actress in a Supporting Role,0,Susan Tyrrell,Fat City
1981,Actress in a Leading Role,0,Susan Sarandon,Atlantic City
1995,Actress in a Leading Role,1,Susan Sarandon,Dead Man Walking
1941,Actress in a Supporting Role,0,Teresa Wright,The Little Foxes
1962,Actor in a Supporting Role,0,Telly Savalas,Birdman of Alcatraz
1969,Actress in a Supporting Role,0,Sylvia Miles,Midnight Cowboy
1976,Actor in a Leading Role,0,Sylvester Stallone,Rocky
2015,Actor in a Supporting Role,0,Sylvester Stallone,Creed
1975,Actress in a Supporting Role,0,Sylvia Miles,"Farewell, My Lovely"
1976,Actress in a Leading Role,0,Talia Shire,Rocky
2008,Actress in a Supporting Role,0,Taraji P. Henson,The Curious Case of Benjamin Button
1962,Actor in a Supporting Role,0,Terence Stamp,Billy Budd
1942,Actress in a Leading Role,0,Teresa Wright,The Pride of the Yankees
1947,Actor in a Supporting Role,0,Thomas Gomez,Ride the Pink Horse
1950,Actress in a Supporting Role,0,Thelma Ritter,All about Eve
1952,Actress in a Supporting Role,0,Terry Moore,"Come Back, Little Sheba"
1982,Actress in a Supporting Role,0,Teri Garr,Tootsie
2005,Actor in a Leading Role,0,Terrence Howard,Hustle & Flow
1952,Actress in a Supporting Role,0,Thelma Ritter,With a Song in My Heart
1986,Actress in a Supporting Role,0,Tess Harper,Crimes of the Heart
1962,Actress in a Supporting Role,0,Thelma Ritter,Birdman of Alcatraz
1951,Actress in a Supporting Role,0,Thelma Ritter,The Mating Season
1958,Actor in a Supporting Role,0,Theodore Bikel,The Defiant Ones
2004,Actor in a Supporting Role,0,Thomas Haden Church,Sideways
1942,Actor in a Supporting Role,1,Van Heflin,Johnny Eager
1954,Actor in a Supporting Role,0,Tom Tully,The Caine Mutiny
1965,Actor in a Supporting Role,0,Tom Courtenay,Doctor Zhivago
1980,Actor in a Supporting Role,1,Timothy Hutton,Ordinary People
1995,Actor in a Supporting Role,0,Tim Roth,Rob Roy
2003,Actor in a Supporting Role,1,Tim Robbins,Mystic River
2007,Actress in a Supporting Role,1,Tilda Swinton,Michael Clayton
1983,Actor in a Leading Role,0,Tom Conti,"Reuben, Reuben"
1986,Actor in a Supporting Role,0,Tom Berenger,Platoon
1983,Actor in a Leading Role,0,Tom Courtenay,The Dresser
1984,Actor in a Leading Role,0,Tom Hulce,Amadeus
1988,Actor in a Leading Role,0,Tom Hanks,Big
1989,Actor in a Leading Role,0,Tom Cruise,Born on the Fourth of July
1999,Actor in a Supporting Role,0,Tom Cruise,Magnolia
2000,Actor in a Leading Role,0,Tom Hanks,Cast Away
2015,Actor in a Supporting Role,0,Tom Hardy,The Revenant
1958,Actor in a Leading Role,0,Tony Curtis,The Defiant Ones
1991,Actor in a Supporting Role,0,Tommy Lee Jones,JFK
2001,Actor in a Leading Role,0,Tom Wilkinson,In the Bedroom
2007,Actor in a Supporting Role,0,Tom Wilkinson,Michael Clayton
2012,Actor in a Supporting Role,0,Tommy Lee Jones,Lincoln
1993,Actor in a Supporting Role,1,Tommy Lee Jones,The Fugitive
1999,Actress in a Supporting Role,0,Toni Collette,The Sixth Sense
1960,Actor in a Leading Role,0,Trevor Howard,Sons and Lovers
1971,Actor in a Leading Role,0,Topol,Fiddler on the Roof
1961,Actress in a Supporting Role,0,Una Merkel,Summer and Smoke
1977,Actress in a Supporting Role,0,Tuesday Weld,Looking for Mr. Goodbar
1994,Actress in a Supporting Role,0,Uma Thurman,Pulp Fiction
1974,Actress in a Leading Role,0,Valerie Perrine,Lenny
1974,Actress in a Supporting Role,0,Valentina Cortese,Day for Night
1952,Actor in a Supporting Role,0,Victor McLaglen,The Quiet Man
1962,Actor in a Supporting Role,0,Victor Buono,What Ever Happened to Baby Jane?
1966,Actress in a Leading Role,0,Vanessa Redgrave,Morgan!
1992,Actress in a Supporting Role,0,Vanessa Redgrave,Howards End
2009,Actress in a Supporting Role,0,Vera Farmiga,Up in the Air
1939,Actress in a Leading Role,1,Vivien Leigh,Gone with the Wind
1957,Actor in a Supporting Role,0,Vittorio De Sica,A Farewell to Arms
1973,Actor in a Supporting Role,0,Vincent Gardenia,Bang the Drum Slowly
2007,Actor in a Leading Role,0,Viggo Mortensen,Eastern Promises
2016,Actor in a Leading Role,0,Viggo Mortensen,Captain Fantastic
1987,Actor in a Supporting Role,0,Vincent Gardenia,Moonstruck
2004,Actress in a Supporting Role,0,Virginia Madsen,Sideways
2008,Actress in a Supporting Role,0,Viola Davis,Doubt
2016,Actress in a Supporting Role,0,Viola Davis,Fences
1951,Actress in a Leading Role,1,Vivien Leigh,A Streetcar Named Desire
1966,Actress in a Supporting Role,0,Vivien Merchant,Alfie
1932,Actor in a Leading Role,1,Wallace Beery,The Champ
1936,Actor in a Supporting Role,1,Walter Brennan,Come and Get It
1941,Actor in a Supporting Role,0,Walter Brennan,Sergeant York
1942,Actor in a Leading Role,0,Walter Pidgeon,Mrs. Miniver
1942,Actor in a Supporting Role,0,Walter Huston,Yankee Doodle Dandy
1948,Actor in a Supporting Role,1,Walter Huston,The Treasure of the Sierra Madre
1966,Actor in a Supporting Role,1,Walter Matthau,The Fortune Cookie
1975,Actor in a Leading Role,0,Walter Matthau,The Sunshine Boys
1934,Actor in a Leading Role,0,William Powell,The Thin Man
1938,Actress in a Leading Role,0,Wendy Hiller,Pygmalion
1967,Actor in a Leading Role,0,Warren Beatty,Bonnie and Clyde
1991,Actor in a Leading Role,0,Warren Beatty,Bugsy
1966,Actress in a Supporting Role,0,Wendy Hiller,A Man for All Seasons
1976,Actor in a Leading Role,0,William Holden,Network
1985,Actor in a Supporting Role,0,William Hickey,Prizzi's Honor
1985,Actress in a Leading Role,0,Whoopi Goldberg,The Color Purple
1990,Actress in a Supporting Role,1,Whoopi Goldberg,Ghost
1996,Actor in a Supporting Role,0,William H. Macy,Fargo
2000,Actor in a Supporting Role,0,Willem Dafoe,Shadow of the Vampire
2001,Actor in a Leading Role,0,Will Smith,Ali
2006,Actor in a Leading Role,0,Will Smith,The Pursuit of Happyness
1985,Actor in a Leading Role,1,William Hurt,Kiss of the Spider Woman
2005,Actor in a Supporting Role,0,William Hurt,A History of Violence
1936,Actor in a Leading Role,0,William Powell,My Man Godfrey
1956,Actor in a Leading Role,1,Yul Brynner,The King and I
1977,Actor in a Leading Role,0,Woody Allen,Annie Hall
1993,Actress in a Supporting Role,0,Winona Ryder,The Age of Innocence
1994,Actress in a Leading Role,0,Winona Ryder,Little Women
1996,Actor in a Leading Role,0,Woody Harrelson,The People vs. Larry Flynt
2009,Actor in a Supporting Role,0,Woody Harrelson,The Messenger
